page_number,url
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/eckpunktepapier-zur-vermeidung-von-lieferengpaessen-bei-arzneimitteln-ist-ein-herumdoktern-ohne-ruecksicht-auf-risiken-und-nebenwirkunge/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/schluss-mit-der-kriminalisierung-von-flucht-fuer-eine-kehrtwende-in-der-eu-asylpolitik/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/twitter-sperren-fuer-journalisten-sind-inakzeptabel/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/ruecktritt-von-fiu-chef-war-ueberfaellig/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/rechtlichen-diskriminierungsschutz-ausbauen/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/eu-energiepreisbremse-nicht-blockieren/
17,https://www.linksfraktion.de/presse/pressemitteilungen/detail/gewerkschaften-den-ruecken-staerken-statt-lohn-preis-spiralen-panikmache/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/menschenrechte-auch-in-deutschland-schuetzen-hunger-und-krieg-weltweit-beenden/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/minister-wissing-lenkt-verkehrspolitik-auf-csu-niveau/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/warntag-nur-teilweise-geglueckt/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/ein-jahr-ampel-fortschritt-geht-anders/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/winterhilfe-fuer-syrien-sanktionen-aufheben/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/lauterbach-setzt-weiter-auf-oekonomischen-druck-im-krankenhaus/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/eine-aktienrente-auf-pump-ist-ueberfluessig-wie-ein-kropf/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/osze-aussenminister-in-polen-ohne-lawrow-wieder-vertane-chance-fuer-diplomatie/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/viel-zu-wenig-arbeitslose-werden-zu-fachkraeften-nachqualifiziert/
18,https://www.linksfraktion.de/presse/pressemitteilungen/detail/wer-aids-beenden-will-muss-diskriminierung-beenden/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/das-betriebsverfassungsgesetz-braucht-ein-update/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/schnelle-entlastungen-fuer-studierende/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/urteil-im-nsu-20-prozess-laesst-relevante-fragen-offen/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/gesellschaftliche-spaltung-verhindern-armut-abbauen/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/noch-immer-gibt-es-keine-umfassende-gewaltschutzstrategie-in-deutschland/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/einbuergerungen-endlich-vereinfachen-einbuergerungskampagne-starten/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/es-ist-nur-noch-widerlich/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/tuerkei-besuch-bundesinnenministerin-nancy-faeser-liegt-voellig-daneben/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundeswehr-aus-mali-abziehen-und-zwar-sofort/
19,https://www.linksfraktion.de/presse/pressemitteilungen/detail/keine-deutschen-waffen-fuer-erdogans-angriffskrieg/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/angriffe-der-tuerkei-auf-nordsyrien-und-irak-scharf-verurteilen/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/menschenrechte-sind-auch-im-sport-nicht-verhandelbar/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mali-abzug-der-bundeswehr-nicht-weiter-verzoegern/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/erfolg-fuer-linke-justizministerkonferenz-sichert-tsg-akten-vor-vernichtung/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/mitbestimmungsregeln-gelten-auch-fuer-sap/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/fdp-ist-mit-der-aktienrente-pur-gescheitert/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/die-ampel-auf-der-titanic/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/millionen-veruntreuung-im-kosovo-mit-mutmasslicher-nato-beteiligung-muss-umgehend-aufgeklaert-werden/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/weg-mit-den-schaedlichen-schuldenregeln/
20,https://www.linksfraktion.de/presse/pressemitteilungen/detail/deutliche-ruege-fuer-den-geheimdienst/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/austausch-und-kooperation-statt-blockkonfrontation/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/miese-krisenpolitik-der-ampel-gefaehrdet-robusten-arbeitsmarkt/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/willkommen-zurueck-lula/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/scholz-plaene-fuer-den-weiteren-ausverkauf-der-hamburger-hafeninfrastruktur-muessen-noch-gestoppt-werden/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/oeffentlicher-dienst-forderung-nach-inflationsausgleich-absolut-berechtigt/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/enttaeuschender-wohngipfel/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/spd-und-fdp-verhindern-geheime-unterrichtung-des-auswaertigen-ausschusses-durch-bnd-zur-frage-inwieweit-deutschland-kriegspartei-in-der-ukraine-ist/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/gerechte-gkv-finanzierung-statt-rekordbeitrag/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/schaetzung-zu-kassenfinanzen-eher-ein-frommer-wunsch/
21,https://www.linksfraktion.de/presse/pressemitteilungen/detail/kein-frieden-mit-der-nato-1/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundesregierung-geht-bei-nord-stream-lecks-von-anschlag-durch-einen-staat-aus/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/lagerpflicht-abschaffen-lehren-aus-der-positiven-erfahrung-bei-der-aufnahme-von-ukraine-gefluechteten-ziehen/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/wohngeldreform-bleibt-stueckwerk/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/steigende-ticketpreise-bei-der-bahn-erschweren-eine-nachhaltige-mobilitaetswende/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/personalnotstand-in-der-bildung-endlich-beseitigen/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/bundesweiter-mietenstopp-jetzt/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/deutschland-muss-sich-weltweit-klar-gegen-die-todesstrafe-aussprechen/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/strom-und-gassperren-muessen-verboten-werden/
22,https://www.linksfraktion.de/presse/pressemitteilungen/detail/die-waffen-nieder-statt-immer-mehr-waffenlieferungen/
