"page_number","urls"
14,"https://afdbundestag.de/kay-uwe-ziegler-pflege-darf-nicht-arm-machen-und-muss-uneingeschraenkt-bezahlbar-bleiben/"
14,"https://afdbundestag.de/joachim-wundrak-stefan-keuter-afghanistan-untersuchungsausschuss-stellt-nicht-verfolgung-von-ortskraeften-fest/"
15,"https://afdbundestag.de/beatrix-von-storch-afd-fraktion-wird-auch-weiterhin-antiisraelisches-abstimmungsverhalten-bekaempfen/"
15,"https://afdbundestag.de/kay-gottschalk-trotz-massiver-steuerlast-kaum-finanzielle-mittel-fuer-die-probleme-im-eigenen-land/"
15,"https://afdbundestag.de/afd-abgeordnete-als-osze-wahlbeobachter-bei-parlaments-und-praesidentschaftswahlen-in-der-tuerkei/"
15,"https://afdbundestag.de/thomas-ehrhorn-afd-fraktion-fordert-stopp-der-von-bruessel-geplanten-emissionsverschaerfung/"
15,"https://afdbundestag.de/thomas-seitz-bundesjustizministerium-hat-keine-information-ueber-die-konkrete-taetigkeit-der-dort-beschaeftigten-juristen/"
15,"https://afdbundestag.de/kay-gottschalk-inflationsrate-in-deutschland-ist-nach-wie-vor-zu-hoch/"
15,"https://afdbundestag.de/peter-felser-forschung-zur-verbreitung-von-multiresistenten-bakterien-verstaerkt-in-den-fokus-ruecken/"
15,"https://afdbundestag.de/gottfried-curio-zustrom-von-migranten-in-die-ueberforderten-kommunen-muss-sofort-reduziert-werden/"
16,"https://afdbundestag.de/beatrix-von-storch-erdogans-wahlkampf-importiert-tuerkische-probleme-nach-deutschland/"
16,"https://afdbundestag.de/barbara-lenk-bundesregierung-muss-in-datenkompetenz-investieren/"
16,"https://afdbundestag.de/alice-weidel-tino-chrupalla-ergebnisse-des-fluechtlingsgipfels-sind-voellig-unzureichend/"
16,"https://afdbundestag.de/dirk-brandes-umgang-des-habeck-ministeriums-mit-lng-standortentscheidung-zeigt-respektlosigkeit-gegenueber-dem-parlament/"
16,"https://afdbundestag.de/eugen-schmidt-stephan-brandner-regierung-muss-zu-moeglichen-kartellrechtswidrigen-zensurabsprachen-von-us-plattformunternehmen-stellung-nehmen/"
16,"https://afdbundestag.de/leif-erik-holm-habeck-muss-sich-von-graichen-trennen/"
16,"https://afdbundestag.de/christina-baum-einsatz-von-mrna-impfstoffen-muss-gestoppt-und-risiken-erforscht-werden/"
16,"https://afdbundestag.de/harald-weyel-eu-uebergeht-mit-exterritorialen-russland-sanktionen-die-souveraenitaet-der-mitgliedsstaaten/"
17,"https://afdbundestag.de/dirk-spaniel-ampel-schaltet-bei-fuehrerschein-inhabern-ueber-70-auf-rot/"
17,"https://afdbundestag.de/petr-bystron-rueckzahlung-rechtswidriger-corona-bussgelder-ist-erster-schritt-zur-aufarbeitung/"
17,"https://afdbundestag.de/rene-springer-unkontrollierte-migration-senkt-bildungsniveau-und-gefaehrdet-unseren-wohlstand/"
17,"https://afdbundestag.de/norbert-kleinwaechter-nationale-demokratien-europas-muessen-ihre-souveraenitaet-behalten/"
17,"https://afdbundestag.de/steffen-kotre-wiederaufnahme-syriens-in-die-arabische-liga-zeigt-scheitern-der-westlichen-isolationspolitik/"
17,"https://afdbundestag.de/rene-springer-staedtetagspraesident-auf-dem-holzweg-vermengung-von-asyl-und-erwerbsmigration-schafft-fehlanreize/"
17,"https://afdbundestag.de/stephan-protschka-freiflaechen-photovoltaikanlagen-zerstoeren-unsere-schoene-heimat/"
17,"https://afdbundestag.de/petr-bystron-stefan-keuter-afd-fraktion-stellt-strafanzeige-gegen-mitarbeiter-des-auswaertigen-amtes/"
18,"https://afdbundestag.de/marc-jongen-matthias-moosdorf-die-restitutionspolitik-der-ministerinnen-roth-und-baerbock-ist-krachend-gescheitert/"
18,"https://afdbundestag.de/petr-bystron-gute-beziehungen-zu-den-mitgliedsstaaten-der-soz-muessen-weiter-vertieft-werden/"
18,"https://afdbundestag.de/stephan-brandner-antwort-der-bundesregierung-zeigt-wahres-ausmass-der-kinderkriminalitaet/"
18,"https://afdbundestag.de/alice-weidel-die-deutschen-wollen-die-migrationswende/"
18,"https://afdbundestag.de/petr-bystron-ohne-deutsches-geld-waere-die-eu-am-ende/"
18,"https://afdbundestag.de/rene-springer-abschieben-statt-rentner-aus-wohnungen-zu-vertreiben/"
18,"https://afdbundestag.de/dirk-brandes-auch-verkehrsministerium-versinkt-in-sumpf-aus-gefaelligkeiten-und-lobbyinteressen/"
18,"https://afdbundestag.de/tino-chrupalla-den-gruenen-sumpf-austrocknen/"
19,"https://afdbundestag.de/eugen-schmidt-julian-assange-am-welttag-der-pressefreiheit-nicht-vergessen/"
19,"https://afdbundestag.de/beatrix-von-storch-der-habeck-graichen-sumpf-muss-restlos-ausgetrocknet-werden/"
19,"https://afdbundestag.de/matthias-moosdorf-und-marc-jongen-billige-skandalisierung-einer-selbstverstaendlichkeit/"
19,"https://afdbundestag.de/tino-chrupalla-breiter-energiemix-statt-strompreisdeckel/"
19,"https://afdbundestag.de/rene-springer-schluss-mit-der-verarmungspolitik/"
19,"https://afdbundestag.de/stephan-brandner-nationale-kraftanstrengung-fuer-abschiebungen-noetig/"
19,"https://afdbundestag.de/goetz-froemming-afd-fraktion-macht-druck-fuer-eine-einigung-beim-sprachstreit-mit-polen/"
19,"https://afdbundestag.de/kay-gottschalk-zu-stabilitaetsorientierter-geldpolitik-zurueckkehren/"
20,"https://afdbundestag.de/dirk-spaniel-afd-fraktion-wird-treffen-von-bundesverkehrsminister-wissing-mit-klimaklebern-zum-thema-im-verkehrsausschuss-machen/"
20,"https://afdbundestag.de/thomas-dietz-katastrophale-lage-bei-der-antibiotikaversorgung-ist-hausgemacht/"
20,"https://afdbundestag.de/martin-reichardt-ideologiegetriebene-geschlechterpolitik-gefaehrdet-kinder-und-jugendliche/"
20,"https://afdbundestag.de/kay-gottschalk-eine-grosse-steuerreform-ist-ueberfaellig/"
20,"https://afdbundestag.de/kay-uwe-ziegler-pflegeunterstuetzungs-und-entlastungsgesetz-greift-beitragszahlern-tief-in-die-tasche/"
20,"https://afdbundestag.de/alice-weidel-inflation-und-ampel-politik-machen-arm-buerger-brauchen-mehr-netto-vom-brutto/"
20,"https://afdbundestag.de/rene-bochmann-gefahr-fuer-umwelt-und-schifffahrt-durch-windparkanlagen-auf-see/"
20,"https://afdbundestag.de/dirk-brandes-deutsche-lkw-fahrer-vor-lohndumping-aus-osteuropa-schuetzen/"
